algorithm,pop_size,n_gen,crossover_prob,mutation_prob,seed,hv,gd,n_solutions
hybrid_no_repair,70,100,0.9,0.5,4,46.57926528577555,0.0,22
hybrid_no_repair,70,100,0.9,0.5,5,50.758617800292214,0.0,26
hybrid_no_repair,70,100,0.9,0.5,6,123.70412877026776,0.0,39
hybrid_no_repair,70,100,0.9,0.5,7,26.520498475382198,0.0,17
hybrid_no_repair,70,100,0.9,0.5,8,61.91124995746941,0.0,18
hybrid_no_repair,70,100,0.9,0.5,9,113.91628426285467,0.0,19
hybrid_no_repair,70,100,0.9,0.5,10,158.35063085072352,0.0,28
hybrid_no_repair,70,100,0.9,0.8,1,28.475175332283968,0.0,13
hybrid_no_repair,70,100,0.9,0.8,2,28.584145728813475,0.0,15
hybrid_no_repair,70,100,0.9,0.8,3,88.26386835525341,0.0,22
hybrid_no_repair,70,100,0.9,0.8,4,132.74988275238195,0.0,26
hybrid_no_repair,70,100,0.9,0.8,5,154.14293817416083,0.0,28
hybrid_no_repair,70,100,0.9,0.8,6,45.15983228953688,0.0,18
hybrid_no_repair,70,100,0.9,0.8,7,33.211491364478334,0.0,23
hybrid_no_repair,70,100,0.9,0.8,8,74.84254330948053,0.0,17
hybrid_no_repair,70,100,0.9,0.8,9,55.14854935891597,0.0,29
hybrid_no_repair,70,100,0.9,0.8,10,27.72818257007132,0.0,11
hybrid_no_repair,70,200,0.8,0.5,1,41.68050198393996,0.0,39
hybrid_no_repair,70,200,0.8,0.5,2,50.762787506390204,0.0,26
hybrid_no_repair,70,200,0.8,0.5,3,52.653378726937774,0.0,45
hybrid_no_repair,70,200,0.8,0.5,4,135.97102301449266,0.0,45
hybrid_no_repair,70,200,0.8,0.5,5,62.47335436195567,0.0,67
hybrid_no_repair,70,200,0.8,0.5,6,92.59330206260802,0.0,54
hybrid_no_repair,70,200,0.8,0.5,7,100.27304595167834,0.0,36
hybrid_no_repair,70,200,0.8,0.5,8,116.13441667529493,0.0,63
hybrid_no_repair,70,200,0.8,0.5,9,103.66688834239838,0.0,38
hybrid_no_repair,70,200,0.8,0.5,10,117.09014862814787,0.0,31
hybrid_no_repair,70,200,0.8,0.8,1,37.55368948522009,0.0,31
hybrid_no_repair,70,200,0.8,0.8,2,115.02497441659929,0.0,61
